# wavelength flux
4000.1612315092 1.0016299551
4000.1679028332 1.0015135605
4000.1745741683 1.0015211402
4000.1812455145 1.0011604614
4000.1879168719 1.0015065858
4000.1945882404 1.0019946087
4000.2012596200 1.0012653328
4000.2079310108 1.0008378039
4000.2146024126 1.0007153613
4000.2212738256 1.0002949479
4000.2279452498 1.0003390627
4000.2346166850 1.0004135517
4000.2412881314 1.0009279357
4000.2479595889 1.0012914021
4000.2546310575 1.0012751433
4000.2613025373 1.0009826107
4000.2679740282 1.0008157098
4000.2746455302 1.0007125779
4000.2813170433 1.0001848591
4000.2879885676 1.0002362794
4000.2946601030 1.0004590407
4000.3013316495 1.0006663890
4000.3080032071 1.0009307042
4000.3146747759 1.0010736104
4000.3213463558 1.0012590650
4000.3280179468 1.0011569139
4000.3346895490 1.0013311216
4000.3413611623 1.0015110162
4000.3480327867 1.0015522930
4000.3547044222 1.0018060772
4000.3613760688 1.0017422019
4000.3680477266 1.0018305547
4000.3747193955 1.0011879834
4000.3813910756 1.0012062570
4000.3880627667 1.0009240687
4000.3947344690 1.0010000110
4000.4014061825 1.0009626104
4000.4080779070 1.0011221619
4000.4147496427 1.0007465958
4000.4214213895 1.0007226828
4000.4280931474 1.0005557627
4000.4347649165 1.0001008107
4000.4414366966 0.9996990947
4000.4481084879 1.0001706114
4000.4547802904 1.0003354235
4000.4614521039 1.0001922668
4000.4681239286 1.0004140584
4000.4747957644 1.0003630920
4000.4814676114 1.0003187523
4000.4881394694 1.0011495886
4000.4948113386 1.0009291024
4000.5014832190 1.0000813142
4000.5081551104 0.9997133672
4000.5148270130 0.9999509968
4000.5214989267 1.0001926597
4000.5281708515 1.0005812674
4000.5348427875 1.0002283136
4000.5415147346 1.0005142584
4000.5481866928 1.0006534432
4000.5548586621 1.0007112262
4000.5615306426 1.0008036742
4000.5682026342 1.0007100544
4000.5748746369 1.0008194340
4000.5815466508 1.0010589951
4000.5882186757 1.0010988691
4000.5948907118 1.0014046435
4000.6015627591 1.0011974794
4000.6082348174 1.0011586556
4000.6149068869 1.0007506356
4000.6215789675 1.0011448681
4000.6282510593 1.0010409172
4000.6349231621 1.0006705921
4000.6415952761 1.0004990482
4000.6482674013 1.0001513569
4000.6549395375 1.0004550546
4000.6616116849 1.0006077511
4000.6682838434 1.0001287729
4000.6749560130 1.0005498587
4000.6816281938 1.0009491803
4000.6883003857 1.0011078607
4000.6949725887 1.0007776424
4000.7016448028 1.0002007966
4000.7083170281 0.9993860627
4000.7149892645 0.9986469435
4000.7216615120 0.9993093332
4000.7283337707 1.0004997174
4000.7350060405 0.9997558878
4000.7416783214 0.9996544452
4000.7483506134 0.9997088551
4000.7550229166 1.0005256796
4000.7616952309 1.0011095427
4000.7683675563 1.0011176520
